project_name,category,description,technologies,key_features
"Chatbot Development (Agentic RAG System)","AI & Machine Learning","Designed and architected an end-to-end Agentic Retrieval-Augmented Generation (RAG) system as a flagship AI product. Developed the backend for an AI-powered conversational assistant that enables users to query CCTV video feeds using natural language and receive contextually relevant responses.","Python • LangGraph • Gemini API • Agentic RAG • Tool Calling • WebSockets • Streamlit • Caching • REST APIs","Built orchestration workflow using LangGraph for multi-step reasoning and agentic execution|Integrated Gemini LLM with tool/function calling for video analytics data|Implemented caching mechanisms to reduce response latency|Developed Streamlit application for rapid prototyping with real-time WebSocket communication|Built scalable, low-latency architecture for large-scale video surveillance data"
"Push and Email Notification System","Cloud Infrastructure & DevOps","Designed a scalable notification system in Python, splitting the API (hosted on Cloud Run) and a worker service (hosted on GKE) for independent scaling. Built a CI/CD pipeline for automated deployments, ensuring low latency and high availability.","Python • Redis • Google Cloud Run • Google Kubernetes Engine (GKE) • GCP Memory Store • CI/CD • REST APIs","Separated API and worker service for independent scaling|Integrated Redis for task queuing|Deployed API on Cloud Run and worker on GKE|Built automated CI/CD pipeline|Ensured low latency and high availability for real-time notifications"
"Medical Analytics Engine Migration","Healthcare & Data Analytics","Independently executed the complete migration of a medical analytics engine from R programming to Python. Handled the entire project lifecycle from conceptualization to implementation, showcasing high technical proficiency.","Python • Flask • pytest • Cython • Healthcare Analytics • Data Migration","Ported over 10,000 medical and analytical business rules|Improved maintainability and performance|Maintained accuracy and reliability of healthcare analytics|Implemented comprehensive testing with pytest|Deployed to production serving 4M+ users"
"Python Source Code Security","Security & Deployment","Initiated an approach to enhance the security of Python source code by cythonizing and deploying it on client servers. Used Cython to encrypt source code, ensuring confidentiality and making it unreadable to external entities.","Python • Cython • Code Encryption • Security","Cythonized Python source code for enhanced security|Encrypted proprietary business logic|Deployed secure code on client servers|Protected intellectual property and sensitive algorithms"
"Portainer – Edge Device Management","DevOps & Infrastructure","Introduced and integrated Portainer as the edge device management platform for managing on-premises deployments. Designed centralized deployment workflow to manage Docker containers across distributed edge devices.","Portainer • Docker • Edge Computing • Container Management • Remote Administration","Centralized deployment workflow for edge devices|Automated Docker image updates across distributed systems|Streamlined application release rollouts to remote systems|Enabled efficient version management and monitoring|Reduced manual operational overhead"
"Kubernetes & Argo CD Automation","Cloud Infrastructure & GitOps","Built and maintained Kubernetes deployment workflows for cloud-native applications. Created Terraform IaC scripts and integrated with Argo CD to enable GitOps-based continuous deployment.","Kubernetes • Argo CD • Terraform • GitOps • Docker • CI/CD • Infrastructure as Code","Created Terraform IaC scripts for consistent resource provisioning|Developed Kubernetes deployment manifests|Integrated with Argo CD for GitOps-based deployment|Automated application release workflows|Standardized infrastructure provisioning and deployment processes"
"Diet Planner Application","Healthcare & AI","Architected a diet planner application that generates personalized diet plans based on medical conditions, food preferences, and regional considerations. Provides JSON output with seven meal combinations, subsequently used to generate PDF diet plans.","Python • JSON • PDF Generation • Healthcare • Algorithm Design","Personalized diet plans based on medical conditions|Considers food preferences and regional factors|Generates seven meal combinations for each mealtime|Automated PDF generation for diet plans|Integrated medical condition constraints"
"Loitering Detection System","Computer Vision & AI","Conceptualized and implemented a loitering detection project to identify individuals consistently lingering in specific locations. Detects such instances and triggers alerts based on YOLOX model results.","Python • YOLOX • Computer Vision • Object Detection • Email Alerts • Real-time Processing","Implemented YOLOX model for person detection|Tracks individuals across frames to detect loitering behavior|Configurable time thresholds for loitering detection|Automated email alerts to specified addresses|Real-time video processing and analysis"
"Custom Python Packages (GCP Artifact Registry)","Development Tools & Infrastructure","Developed multiple Python packages hosted in GCP Artifact Registry to expedite development and standardize methodologies across the organization. Includes SQL Helper, Protobuf Helper, and GCP Logging packages.","Python • GCP Artifact Registry • Package Development • SQL • Protobuf • Logging","SQL Helper for streamlined CRUD operations|Protobuf Helper for serialized data handling|GCP Logging for centralized error monitoring|Standardized development practices across organization|Integrated with CI/CD pipelines for automated deployment"
"GCP Logging Package","Monitoring & Observability","Developed a Python error handling package integrated with GCP logging for centralized error monitoring across all organization's Python applications. Standardized error handling practices and enhanced visibility.","Python • Google Cloud Logging • Error Handling • Monitoring • Centralized Logging","Centralized error monitoring across all Python applications|Standardized error handling practices|Streamlined debugging and troubleshooting|Enhanced visibility into application health|Easy integration into existing codebases"
"CI/CD Pipeline with GitHub Actions","DevOps & Automation","Implemented CI/CD pipeline with GitHub Actions for deploying post-inference scripts on Compute Engine. Utilized PM2 for process management, ensuring script execution reliability.","GitHub Actions • CI/CD • Google Compute Engine • PM2 • Automation • Testing","Automated deployment to Compute Engine instances|Integrated PM2 for reliable process management|Implemented automated testing and validation|Enhanced deployment efficiency and visibility|Centralized logging and monitoring"
